Rk,Pk,Tm,Player,College,Yrs,G,MP,WS,WS/48,BPM,VORP,Season
1,1,CLE,Andrew Wiggins,Kansas,7,466,16635,15.2,.044,-1.9,0.2,2014
2,2,MIL,Jabari Parker,Duke,6,285,8258,13.2,.077,-0.8,2.4,2014
3,3,PHI,Joel Embiid,Kansas,5,220,6702,24.6,.177,4.4,10.9,2014
4,4,ORL,Aaron Gordon,Arizona,7,413,11789,22.3,.091,0.0,6.0,2014
5,5,UTA,Dante Exum,,6,245,4545,3.1,.033,-3.3,-1.5,2014
6,6,BOS,Marcus Smart,Oklahoma State,7,410,11908,21.4,.086,-0.3,5.1,2014
7,7,LAL,Julius Randle,Kentucky,7,387,11382,21.6,.091,-0.3,4.7,2014
8,8,SAC,Nik Stauskas,Michigan,5,335,6662,3.8,.028,-3.0,-1.7,2014
9,9,CHH,Noah Vonleh,Indiana,6,335,5672,9.3,.079,-2.4,-0.5,2014
10,10,PHI,Elfrid Payton,Louisiana,7,399,11709,15.1,.062,-0.6,4.2,2014
11,11,DEN,Doug McDermott,Creighton,7,422,8453,14.6,.083,-2.0,0.0,2014
12,12,ORL,Dario Šarić,,5,313,8226,14.9,.087,-0.7,2.6,2014
13,13,MIN,Zach LaVine,UCLA,7,364,11244,12.8,.055,-0.6,4.0,2014
14,14,PHO,T.J. Warren,NC State,7,332,9553,19.7,.099,-0.2,4.2,2014
15,15,ATL,Adreian Payne,Michigan State,4,107,1403,-0.6,-.019,-5.9,-1.4,2014
16,16,CHI,Jusuf Nurkić,,7,330,7636,17.7,.111,0.2,4.1,2014
17,17,BOS,James Young,Kentucky,4,95,812,0.8,.046,-3.4,-0.3,2014
18,18,PHO,Tyler Ennis,Syracuse,4,186,2336,1.3,.026,-3.4,-0.8,2014
19,19,CHI,Gary Harris,Michigan State,7,378,10980,18.2,.080,-1.0,2.7,2014
20,20,TOR,Bruno Caboclo,,7,105,1293,1.5,.055,-2.7,-0.2,2014
21,21,OKC,Mitch McGary,Michigan,2,52,557,1.3,.108,-2.6,-0.1,2014
22,22,MEM,Jordan Adams,UCLA,2,32,263,0.4,.070,1.7,0.2,2014
23,23,UTA,Rodney Hood,Duke,7,351,9457,16.8,.085,-0.7,3.2,2014
